Title,Link
Matthew Perry’s Stepfather Has Revealed That The Star “Didn’t Understand” And “Would Never Have Believed” How Loved He Was,https://www.buzzfeed.com/stephaniesoteriou/matthew-perry-didnt-know-how-loved-he-was?origin=nofil
“So Scared”: Terrified Olivia Rodrigo Was Interrogated By Federal Officers For Half An Hour In A Seriously Unfortunate Case Of Mistaken Identity,https://www.buzzfeed.com/stephaniesoteriou/olivia-rodrigo-interrogated-officers-mistaken-identity?origin=nofil
"After Asking Herself If She Felt “Gross” Profiting From “Woman Of The Hour,” Anna Kendrick Revealed She Donated All The Money She Made To Victims Of Violent Crime",https://www.buzzfeednews.com/article/leylamohammed/anna-kendrick-donated-woman-of-the-hour-earnings-victims?origin=nofil
"Channing Tatum And Zoë Kravitz Have Reportedly Broken Up After Three Years Together, And Here’s What We Know So Far",https://www.buzzfeed.com/ellendurney/channing-tatum-zoe-kravitz-breakup-amid-movie-casting?origin=nofil
Are You Alex Russo The Wizard Or Mabel Mora The Slueth? Plan A Global Itinerary To Find Out,https://www.buzzfeed.com/hazelyxlee/travel-the-world-alex-russo-mabel-mora?origin=nofil
"Which Onscreen Wig Was So Convincing, You Were Surprised To Learn It Wasn't The Actor's Real Hair?",https://www.buzzfeed.com/kristenharris1/most-convincing-onscreen-wigs-add-yours?origin=nofil
"These Are All Iconic Lines From '80s Movies, But I Still Doubt Anyone Can Go 20/20 On This Quiz",https://www.buzzfeed.com/sarathompson1/1980s-movie-quotes-trivia-quiz?origin=nofil
These Are The 22 Best Vampire Movies Ever Made,https://www.buzzfeed.com/evelinamedina/best-vampire-movies?origin=nofil
These UBER Popular Movies Are Getting Some Mixed Reviews RN — Decide Which Side You Stand On,https://www.buzzfeed.com/vibrantrocket562/mixed-reviews-movies-opinion-poll?origin=nofil
Pick A Bunch Of Songs From Broadway Musicals And I'll Give You A Disney Movie To Watch,https://www.buzzfeed.com/bravekitten53/disney-movie-broadway-songs-quiz?origin=nofil
"The Wayans Brothers Are Bringing ""Scary Movie"" Back, And Fans Really Want This One Thing To Happen",https://www.buzzfeed.com/morganmurrell/marlon-wayans-scary-movie-returns?origin=nofil
"14 Then Vs. Now Photos Of Disney Alums At The ""Wizards Beyond Waverly Place"" Premiere",https://www.buzzfeed.com/josephlongo/wizards-beyond-waverly-place-red-carpet?origin=nofil
"17 Facts About The Real Rodney Alcala, AKA ""The Dating Game"" Killer, That You Probably Don't Know",https://www.buzzfeed.com/noradominick/rodney-alcala-real-life-facts-woman-of-the-hour?origin=nofil
"""I Can See My Scars"": Danielle Fishel Spoke Candidly About How Her Life Has Changed Since Being Diagnosed With Breast Cancer",https://www.buzzfeed.com/laurengarafano/danielle-fishel-life-after-breast-cancer-diagnosis?origin=nofil
"It's Time To Find Out Which Original ""Wizards Of Waverly Place"" Character You Are Alongside The New Cast Of ""Wizards Beyond Waverly Place""",https://www.buzzfeed.com/kristenharris1/wizards-of-waverly-place-character-quiz?origin=nofil
Which Famous Witch Are You?,https://www.buzzfeed.com/mowges1993/witch-personality-quiz?origin=nofil
"Peter Gallagher Recalled Working With Mischa Barton On ""The O.C.,"" And How He's Grateful She's ""Still Alive""",https://www.buzzfeed.com/laurengarafano/peter-gallagher-interview-mischa-barton-oc?origin=nofil
Let's See Which Cartoon Pet You End Up With At The End Of This Quiz,https://www.buzzfeed.com/emilymorris1610/adopt-cartoon-pet-quiz?origin=nofil
Comedian Jess Hilarious Said Her One Regret Is The Chadwick Boseman Joke She Made Before Knowing He Was Sick,https://www.buzzfeed.com/morganmurrell/jess-hilarious-addresses-chadwick-boseman-jokes?origin=nofil
“Friends” Fans Are Emotional After Jennifer Aniston And Courteney Cox Shared Touching Instagram Posts One Year On From Matthew Perry’s Death,https://www.buzzfeednews.com/article/leylamohammed/jennifer-aniston-courteney-cox-honor-matthew-perry-1-year-on?origin=nofil
"Cynthia Erivo Discussed The Private Kardashian ""Wicked"" Screening After It Faced Some Criticism",https://www.buzzfeed.com/natashajokic1/cynthia-erivo-wicked-kardashian-ariana-grande?origin=nofil
"Dax Shepard Just Used Bradley Cooper’s Reaction To Being Named ""Sexiest Man Alive"" As Proof That “We All Are So Hard On Ourselves”",https://www.buzzfeed.com/stephaniesoteriou/bradley-cooper-sexiest-man-alive-win-prank?origin=nofil
Hugh Grant On His New Role As A 'Cheeky Little Killer' And Why He Loves Going Dark,https://www.buzzfeed.com/adaenechi/hugh-grant-heretic?origin=nofil
"I'm Honestly Really Impressed By These 16 Celebrities Who Worked ""Regular"" Jobs After Becoming Famous",https://www.buzzfeed.com/kristenharris1/celebs-worked-normal-jobs?origin=nofil
“I Probably Should’ve Called My Friends”: Cynthia Erivo Reflected On Her “Passionate” Reaction To The “Offensive” Fan-Made “Wicked” Poster,https://www.buzzfeed.com/ellendurney/cynthia-erivo-on-reaction-to-wicked-fan-poster-edit?origin=nofil
Everyone Embodies A Specific Classic Tim Burton Flick — Here's Which One You Are,https://www.buzzfeed.com/bonequiqui/tim-burton-movie-personality-quiz?origin=nofil
What's your spiciest movie/TV opinion?,https://www.buzzfeed.com/discuss/spicy-movie-tv-opinion-dq?origin=nofil
"Eat Your Way Through Fast Food Breakfast And We'll Reveal Which Australian ""The Office"" Character Matches Your Freak",https://www.buzzfeed.com/angelinebarion/fast-food-breakfast-the-office-australia-quiz?origin=nofil
"32 Movies That Are So Freaky, You'll Probably Regret Watching Them",https://www.buzzfeed.com/spenceralthouse/freaky-movies-youll-regret-watching?origin=nofil
Let's Be So For Real Here And Decide If These Fictional Zombie Apocalypses Are Survivable,https://www.buzzfeed.com/alysaurus688/zombie-apocalypses-poll-quiz?origin=nofil
"""My Fellow Puerto Ricans, Trash Collection Day Is November 5, 2024."" — Sunny Hostin Is Encouraging Puerto Ricans To Vote After Trump's Racist Rally",https://www.buzzfeed.com/ashleyholt1/sunny-hostin-defends-puerto-rico?origin=nofil
Pick Your Favorite Taylor Swift Tracks And We'll Reveal Your Hogwarts House,https://www.buzzfeed.com/redswiftie09/harry-potter-house-swiftie-quiz?origin=nofil
A Viral Clip Of Tom Hardy Explaining How He Came Up With Venom's Voice Has People Shocked,https://www.buzzfeed.com/morganmurrell/tom-hardy-venom-voice-influence?origin=nofil
"Anna Kendrick Had The Perfect Response To An ""Icky"" Director Who Embarrassed Her On Set",https://www.buzzfeed.com/larryfitzmaurice/anna-kendrick-director-embarrassed-on-set?origin=nofil
Anna Kendrick Recalled The Hilarious Time She Forgot She Was In “Twilight” And Said She Was “Lucky” To Avoid The Negative Attention That Kristen Stewart And Robert Pattinson Faced,https://www.buzzfeednews.com/article/leylamohammed/anna-kendrick-recalls-forgetting-she-was-in-twilight?origin=nofil
"After Previously Saying She’d “Prefer They Do Something Else,” Angelina Jolie Explained Why She Loves That Her Kids Are Working In Hollywood",https://www.buzzfeed.com/ellendurney/angelina-jolie-on-her-kids-working-in-hollywood?origin=nofil
Which Final Girl Will Make It To The End Of This Quiz?,https://www.buzzfeed.com/keshyn/ultimate-final-girl-quiz?origin=nofil
Pick 10 Horror Movies And We'll Match You With The Perfect Halloween Activity,https://www.buzzfeed.com/hazelyxlee/horror-movies-halloween-activity-quiz?origin=nofil
Build An Ice Cream Sundae To Discover What Disney Movie You Should Watch,https://www.buzzfeed.com/zachreator/ice-cream-sundae-disney-quiz?origin=nofil
11 Actors Who Had To Dye Their Hair Or Change Their Appearances In Order To Actually Get Roles They Wanted,https://www.buzzfeed.com/kristenharris1/actors-change-appearances-typecasting?origin=nofil
"If You Can Recognise Over 8 Of These Movie Titles With The Animals Removed, You're A Movie Genius",https://www.buzzfeed.com/bendzialdowski/film-titles-with-animals-in-quiz?origin=nofil
"66 Halloween Costumes That Already Won Halloween, And It Literally Hasn't Even Happened Yet",https://www.buzzfeed.com/spenceralthouse/best-halloween-costume-ideas-2024?origin=nofil
"When It Comes To These Horror Classics, What Was Better: The Book Or The Movie?",https://www.buzzfeed.com/eben0118/horror-books-movies-poll?origin=nofil
"""The Silence Is Killing Me"": A Clip Of Saoirse Ronan Responding To Paul Mescal Is Going Viral",https://www.buzzfeed.com/larryfitzmaurice/saoirse-ronan-paul-mescal-viral-clip?origin=nofil
Are You More Of A Warm Color Or Cool Color Person? Pick 6 Disney Movies And I'll Give It My Best Guess,https://www.buzzfeed.com/hazelyxlee/disney-movies-warm-vs-cool-colors?origin=nofil
